trackid,numtrajpoints,lastupdatetime
17540000,0,2018-01-12 17:54:00.5701
17540101,0,2018-01-12 17:54:01.272112
17540102,0,2018-01-12 17:54:01.656397
17540104,0,2018-01-12 17:54:01.856536
17540103,0,2018-01-12 17:54:01.856536
17555900,76,2018-01-12 17:56:11.016555
17555300,76,2018-01-12 17:56:11.016555
17555200,80,2018-01-12 17:56:11.358507
17554300,136,2018-01-12 17:56:11.358507
17561901,0,2018-01-12 17:56:20.08329
17562000,0,2018-01-12 17:56:20.293552
17552201,0,2018-01-12 17:55:22.641659
17561101,0,2018-01-12 17:56:11.513911
17560800,8,2018-01-12 17:56:09.322102
17555002,12,2018-01-12 17:56:04.562003
17554200,12,2018-01-12 17:55:44.032514
17544800,20,2018-01-12 17:54:50.27854
17542700,2,2018-01-12 17:54:27.248815
17552300,21,2018-01-12 17:55:33.597891
17542300,18,2018-01-12 17:54:27.248815
17542701,0,2018-01-12 17:54:27.426717
17542702,0,2018-01-12 17:54:27.572117
17543301,0,2018-01-12 17:54:33.994187
17543600,0,2018-01-12 17:54:36.988496
17554900,2,2018-01-12 17:55:49.260288
17540200,8,2018-01-12 17:54:04.364681
17554800,10,2018-01-12 17:55:49.260288
17553500,4,2018-01-12 17:55:35.92373
17553400,15,2018-01-12 17:55:35.92373
17545000,24,2018-01-12 17:54:52.819436
17544500,9,2018-01-12 17:54:48.131338
17562001,0,2018-01-12 17:56:20.484435
17553501,0,2018-01-12 17:55:36.093523
17553600,0,2018-01-12 17:55:36.462615
17540400,2,2018-01-12 17:54:04.669974
17540300,11,2018-01-12 17:54:04.669974
17542500,88,2018-01-12 17:54:52.946462
17553701,0,2018-01-12 17:55:37.461294
17540401,0,2018-01-12 17:54:04.757574
17540501,0,2018-01-12 17:54:05.292422
17540500,0,2018-01-12 17:54:05.292422
17540600,0,2018-01-12 17:54:06.427521
17540702,0,2018-01-12 17:54:07.468381
17540701,0,2018-01-12 17:54:07.468381
17540700,0,2018-01-12 17:54:07.468381
17540703,0,2018-01-12 17:54:07.757273
17540705,0,2018-01-12 17:54:07.956062
17533700,9,2018-01-12 17:53:38.215837
17540706,0,2018-01-12 17:54:08.055595
17540800,0,2018-01-12 17:54:08.174277
17540802,0,2018-01-12 17:54:08.571127
17540801,0,2018-01-12 17:54:08.571127
17540803,0,2018-01-12 17:54:08.688162
17541000,0,2018-01-12 17:54:10.278681
17541001,0,2018-01-12 17:54:10.75175
17551700,24,2018-01-12 17:55:25.453865
17552503,0,2018-01-12 17:55:25.508371
17533500,31,2018-01-12 17:53:38.843259
17533400,39,2018-01-12 17:53:38.843259
17533809,0,2018-01-12 17:53:38.960519
17533807,0,2018-01-12 17:53:38.960519
17533806,0,2018-01-12 17:53:38.960519
17533805,0,2018-01-12 17:53:38.960519
17533804,0,2018-01-12 17:53:38.960519
17533803,0,2018-01-12 17:53:38.960519
17533802,0,2018-01-12 17:53:38.960519
17533801,0,2018-01-12 17:53:38.960519
17533800,0,2018-01-12 17:53:38.960519
17533900,0,2018-01-12 17:53:39.3351
17533901,0,2018-01-12 17:53:39.765085
17533902,0,2018-01-12 17:53:39.877312
17552502,0,2018-01-12 17:55:25.508371
17552501,0,2018-01-12 17:55:25.508371
17552500,0,2018-01-12 17:55:25.508371
17542900,144,2018-01-12 17:55:00.431121
17550001,0,2018-01-12 17:55:00.461928
17550000,0,2018-01-12 17:55:00.461928
17550100,0,2018-01-12 17:55:01.210932
17550101,0,2018-01-12 17:55:01.477579
17550200,0,2018-01-12 17:55:02.648833
17534100,6,2018-01-12 17:53:42.662728
17550300,0,2018-01-12 17:55:03.067331
17535902,43,2018-01-12 17:54:18.564182
17550401,0,2018-01-12 17:55:04.831503
17550400,0,2018-01-12 17:55:04.831503
17550500,0,2018-01-12 17:55:05.418648
17540402,5,2018-01-12 17:54:15.871959
17550800,0,2018-01-12 17:55:08.925232
17551200,0,2018-01-12 17:55:12.629867
17551201,0,2018-01-12 17:55:12.799446
17541800,3,2018-01-12 17:54:18.841422
17541500,33,2018-01-12 17:54:18.841422
17544100,5,2018-01-12 17:54:41.553361
17541801,0,2018-01-12 17:54:19.000897
17541802,0,2018-01-12 17:54:19.075612
17542000,0,2018-01-12 17:54:20.245373
17544000,8,2018-01-12 17:54:41.553361
17543300,8,2018-01-12 17:54:41.553361
17534300,5,2018-01-12 17:53:44.050863
17533808,20,2018-01-12 17:53:44.050863
17534400,0,2018-01-12 17:53:44.216796
17534301,0,2018-01-12 17:53:44.216796
17534500,0,2018-01-12 17:53:45.144983
17534501,0,2018-01-12 17:53:45.222113
17534503,0,2018-01-12 17:53:45.320491
17534502,0,2018-01-12 17:53:45.320491
17534601,0,2018-01-12 17:53:46.389084
17534600,0,2018-01-12 17:53:46.389084
17534602,0,2018-01-12 17:53:46.739507
17534603,0,2018-01-12 17:53:46.846968
17534801,0,2018-01-12 17:53:48.152734
17534800,0,2018-01-12 17:53:48.152734
17551600,0,2018-01-12 17:55:16.314278
17551601,0,2018-01-12 17:55:16.424823
17540704,40,2018-01-12 17:54:21.860032
17542301,0,2018-01-12 17:54:23.270808
17544102,0,2018-01-12 17:54:41.678208
17544101,0,2018-01-12 17:54:41.678208
17534604,53,2018-01-12 17:53:55.83817
17551602,0,2018-01-12 17:55:17.044591
17552901,0,2018-01-12 17:55:29.267775
17540100,22,2018-01-12 17:54:16.483412
17552900,0,2018-01-12 17:55:29.267775
17552902,0,2018-01-12 17:55:29.708923
17535600,1,2018-01-12 17:53:56.333737
17535200,37,2018-01-12 17:53:56.333737
17535000,57,2018-01-12 17:53:56.333737
17553000,1,2018-01-12 17:55:32.152012
17554901,0,2018-01-12 17:55:49.423067
17535601,0,2018-01-12 17:53:56.529205
17535602,0,2018-01-12 17:53:56.568778
17535603,0,2018-01-12 17:53:56.93548
17535701,0,2018-01-12 17:53:57.775379
17535700,0,2018-01-12 17:53:57.775379
17535901,0,2018-01-12 17:53:59.828012
17535900,0,2018-01-12 17:53:59.828012
17554902,0,2018-01-12 17:55:50.074081
17555000,0,2018-01-12 17:55:50.661323
17544200,5,2018-01-12 17:54:44.739084
17555001,0,2018-01-12 17:55:50.863178
17553700,3,2018-01-12 17:55:39.595073
17555301,0,2018-01-12 17:55:53.795069
17551800,8,2018-01-12 17:55:21.418747
17544401,0,2018-01-12 17:54:44.795809
17544400,0,2018-01-12 17:54:44.795809
17552200,70,2018-01-12 17:55:41.592847
17553900,19,2018-01-12 17:55:41.71957
17561102,0,2018-01-12 17:56:12.005347
17561200,0,2018-01-12 17:56:12.784049
17562101,0,2018-01-12 17:56:21.30668
17562100,0,2018-01-12 17:56:21.30668
17562200,0,2018-01-12 17:56:22.494222
17561100,3,2018-01-12 17:56:11.358507
17561400,0,2018-01-12 17:56:14.396124
17560700,35,2018-01-12 17:56:11.358507
17561401,0,2018-01-12 17:56:14.476717
17561600,0,2018-01-12 17:56:16.680484
17561601,0,2018-01-12 17:56:17.010015
17561700,0,2018-01-12 17:56:17.371915
17560500,61,2018-01-12 17:56:11.358507
17561800,0,2018-01-12 17:56:18.269335
17560200,80,2018-01-12 17:56:11.358507
17561900,0,2018-01-12 17:56:19.524893
17562201,0,2018-01-12 17:56:22.675172
17562300,0,2018-01-12 17:56:23.637938
17562401,0,2018-01-12 17:56:25.045853
17562400,0,2018-01-12 17:56:25.045853
17562500,0,2018-01-12 17:56:25.098409
17562502,0,2018-01-12 17:56:25.424091
17562501,0,2018-01-12 17:56:25.424091
17562503,0,2018-01-12 17:56:25.700321
17562505,0,2018-01-12 17:56:26.007928
17562504,0,2018-01-12 17:56:26.007928
17562600,0,2018-01-12 17:56:26.866195
17562601,0,2018-01-12 17:56:26.924278
17562602,0,2018-01-12 17:56:27.041335
17562700,0,2018-01-12 17:56:27.294575
17562705,0,2018-01-12 17:56:27.522727
17562704,0,2018-01-12 17:56:27.522727
17562703,0,2018-01-12 17:56:27.522727
17562702,0,2018-01-12 17:56:27.522727
17562701,0,2018-01-12 17:56:27.522727
17562800,0,2018-01-12 17:56:28.682907
17562805,0,2018-01-12 17:56:29.026497
17562804,0,2018-01-12 17:56:29.026497
17562803,0,2018-01-12 17:56:29.026497
17562801,0,2018-01-12 17:56:29.026497
17562903,0,2018-01-12 17:56:29.167448
17562901,0,2018-01-12 17:56:29.167448
17562900,0,2018-01-12 17:56:29.167448
17562905,0,2018-01-12 17:56:29.400356
17562904,0,2018-01-12 17:56:29.400356
17562909,0,2018-01-12 17:56:29.659704
17562908,0,2018-01-12 17:56:29.659704
17562907,0,2018-01-12 17:56:29.659704
17562910,0,2018-01-12 17:56:29.755252
17562911,0,2018-01-12 17:56:29.987128
17562913,0,2018-01-12 17:56:30.083238
17562912,0,2018-01-12 17:56:30.083238
17563006,0,2018-01-12 17:56:30.169461
17563005,0,2018-01-12 17:56:30.169461
17563003,0,2018-01-12 17:56:30.169461
17563002,0,2018-01-12 17:56:30.169461
17563001,0,2018-01-12 17:56:30.169461
17563000,0,2018-01-12 17:56:30.169461
17563010,0,2018-01-12 17:56:30.646936
17563009,0,2018-01-12 17:56:30.646936
17563008,0,2018-01-12 17:56:30.646936
17563007,0,2018-01-12 17:56:30.646936
17563101,0,2018-01-12 17:56:31.350485
17563100,0,2018-01-12 17:56:31.350485
17563200,0,2018-01-12 17:56:32.565034
17563201,0,2018-01-12 17:56:32.731346
17563301,0,2018-01-12 17:56:33.60568
17563300,1,2018-01-12 17:56:35.724928
17572302,0,2018-01-12 17:57:23.363058
17572303,0,2018-01-12 17:57:23.462171
17572307,0,2018-01-12 17:57:24.036463
17572306,0,2018-01-12 17:57:24.036463
17572305,0,2018-01-12 17:57:24.036463
17572304,0,2018-01-12 17:57:24.036463
17572400,0,2018-01-12 17:57:24.287764
17565800,19,2018-01-12 17:57:01.092571
17572401,0,2018-01-12 17:57:24.361177
17572402,0,2018-01-12 17:57:24.465385
17572404,0,2018-01-12 17:57:24.584497
17572403,0,2018-01-12 17:57:24.584497
17572405,0,2018-01-12 17:57:24.850195
17572500,0,2018-01-12 17:57:25.329318
17572501,0,2018-01-12 17:57:25.402537
17572504,0,2018-01-12 17:57:25.614828
17572503,0,2018-01-12 17:57:25.614828
17572502,0,2018-01-12 17:57:25.614828
17572600,0,2018-01-12 17:57:26.137628
